證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"5876","上海商銀","6462882","286642697","44.50","44.75","44.20","44.25","-0.5500","1474"
"5880","合庫金","25336785","528777807","21.00","21.10","20.80","20.80","-0.3000","5943"
"5906","台南-KY","13000","471250","36.20","36.35","36.10","36.30","0.1000","12"
"5907","大洋-KY","588350","12197100","20.20","21.30","20.20","20.50","0.3500","375"
"6005","群益證","9173604","151264732","16.60","16.70","16.40","16.40","-0.2000","2421"
"6024","群益期","467545","18610439","39.90","40.00","39.75","39.75","-0.2000","349"
"6108","競國","201394","4018586","20.10","20.15","19.80","20.00","0.1500","127"
"6112","聚碩","49436","2060586","41.85","41.85","41.60","41.60","0.1000","52"
"6115","鎰勝","111037","4894433","44.20","44.20","44.00","44.05","-0.1000","80"
"6116","彩晶","399884484","9138451822","22.70","23.50","22.20","22.30","0.1500","101261"
"6117","迎廣","3008","49177","16.35","16.35","16.35","16.35","0.0000","3"
"6120","達運","1193058","16498707","14.15","14.15","13.65","13.65","-0.3500","599"
"6128","上福","64663","1621352","25.15","25.15","25.05","25.10","-0.0500","36"
"6133","金橋","170076","1520821","8.97","9.00","8.87","8.99","-0.0400","81"
"6136","富爾特","102190","1839625","18.00","18.10","17.85","18.10","0.1000","59"
"6139","亞翔","223504","6701318","30.10","30.10","29.85","30.00","0.0000","154"
"6141","柏承","214120","5976107","28.00","28.05","27.75","27.80","-0.1500","141"
"6142","友勁","525410","6319007","12.20","12.20","11.95","12.00","-0.2000","279"
"6152","百一","383484","3947028","10.50","10.65","10.15","10.30","-0.2000","191"
"6153","嘉聯益","5803311","179508367","31.25","31.50","30.60","30.60","-0.5000","3053"
"6155","鈞寶","158100","4183134","26.60","26.70","26.20","26.25","-0.1000","119"
"6164","華興","300787","3101240","10.55","10.55","10.20","10.20","-0.3000","169"
"6165","浪凡","578480","20221174","35.90","35.90","34.60","34.75","-0.8500","397"
"6166","凌華","126259","7765550","61.10","62.40","61.10","61.80","-0.7000","96"
"6168","宏齊","1257711","27993565","22.60","22.60","22.00","22.15","-0.4000","682"
"6172","互億","599566","23939720","41.65","41.65","38.20","40.65","-1.3500","376"
"6176","瑞儀","3187967","376413194","119.00","119.50","117.50","117.50","-1.5000","1629"
"6177","達麗","265139","7962973","30.25","30.30","29.90","30.20","0.0000","146"
"6183","關貿","56233","2837657","51.00","51.00","50.10","50.60","0.5000","67"
"6184","大豐電","25592","1152995","45.05","45.10","45.00","45.00","0.0000","30"
"6189","豐藝","463510","18986794","40.95","41.10","40.85","40.95","0.0000","280"
"6191","精成科","6297034","210132776","33.65","33.80","33.05","33.20","-0.4500","3019"
"6192","巨路","32664","2333328","71.40","71.70","71.20","71.50","0.1000","38"
"6196","帆宣","734653","79647920","110.00","110.00","107.00","107.00","-0.5000","555"
"6197","佳必琪","285288","11306990","39.75","39.80","39.50","39.75","0.2500","211"
"6201","亞弘電","29151","1335996","45.40","46.55","45.40","46.55","0.5500","28"
"6202","盛群","6047651","643359807","110.50","111.00","104.00","106.00","-3.5000","4253"
"6205","詮欣","203510","5978638","29.80","29.80","28.50","29.60","0.0000","159"
"6206","飛捷","96429","6260382","65.10","65.10","64.60","64.90","0.1000","83"
"6209","今國光","767613","26233686","34.25","34.65","33.85","33.85","-0.3500","507"
"6213","聯茂","1489469","204598268","138.00","139.00","136.50","136.50","-1.5000","1167"
"6214","精誠","311353","27774296","89.00","89.50","89.00","89.00","-0.2000","278"
"6215","和椿","1233473","29466838","23.55","24.40","23.30","23.90","0.3500","612"
"6216","居易","42123","1070313","25.35","25.50","25.35","25.45","0.1000","39"
"6224","聚鼎","7101557","928260337","130.50","134.50","126.50","134.50","10.5000","5152"
"6225","天瀚","10248","34155","3.29","3.50","3.29","3.50","-0.1000","7"
"6226","光鼎","545574","4922592","9.12","9.12","8.99","9.01","-0.0400","224"
"6230","尼得科超眾","164299","35275311","208.00","217.50","208.00","212.50","4.5000","190"
"6235","華孚","439171","8132170","18.70","18.75","18.35","18.45","-0.1500","253"
"6239","力成","4084321","441923780","107.50","109.00","107.00","108.00","1.0000","1818"
